model,strategy_short,total_tokens,total_api_cost,avg_cosine_similarity,avg_rouge_l_f1,avg_self_grade,avg_latency_ms,cosine_per_dollar,sample_count
claude-3.5-haiku,Default,40960.0,0.088019,0.449901,0.197822,2.906977,8865.891811,219.790116,43
claude-3.5-haiku,Self-Consistency_N3,300365.0,0.504833,0.434818,0.172545,3.186047,38972.517258,37.036358,43
claude-3.5-haiku,Self-Consistency_N5,471394.0,0.794258,0.427815,0.170143,2.953488,60026.918844,23.161283,43
claude-3.5-haiku,Self-Discover,83913.0,0.184151,0.431222,0.13449,2.860465,16445.529777,100.691857,43
claude-3.5-sonnet,Default,43223.0,0.364017,0.490497,0.199165,3.046512,9103.793205,57.9406,43
claude-3.5-sonnet,Self-Consistency_N3,306232.0,1.89306,0.509147,0.159174,3.186047,37343.493473,11.565034,43
claude-3.5-sonnet,Self-Consistency_N5,488413.0,3.082467,0.510138,0.157338,3.139535,62328.803329,7.116362,43
claude-3.5-sonnet,Self-Discover,76247.0,0.575577,0.491049,0.153718,3.139535,12975.080856,36.685078,43
claude-3.7-sonnet,Default,52012.0,0.495852,0.528146,0.174645,3.116279,12116.397941,45.800526,43
claude-3.7-sonnet,Self-Consistency_N3,483172.0,3.48474,0.540968,0.117205,3.302326,70935.079863,6.675279,43
claude-3.7-sonnet,Self-Consistency_N5,778090.0,5.689554,0.540584,0.117429,3.348837,112748.443487,4.085575,43
claude-3.7-sonnet,Self-Discover,124241.0,1.295487,0.546091,0.096242,3.302326,30316.689292,18.125936,43
claude-opus-4,Default,60034.0,3.08091,0.527358,0.147002,2.837209,30478.325738,7.360293,43
claude-opus-4,Self-Consistency_N3,441794.0,15.56169,0.546469,0.125601,3.418605,103526.208833,1.51,43
claude-opus-4,Self-Consistency_N5,710992.0,25.42836,0.538986,0.125457,3.325581,521999.326146,0.911439,43
claude-opus-4,Self-Discover,112683.0,5.610585,0.531271,0.101362,3.255814,48055.211871,4.071707,43
claude-sonnet-4,Default,63541.0,0.668787,0.502307,0.129795,2.906977,17425.509924,32.296097,43
claude-sonnet-4,Self-Consistency_N3,425260.0,2.963532,0.523787,0.12414,3.325581,280297.539134,7.6,43
claude-sonnet-4,Self-Consistency_N5,686072.0,4.861392,0.53155,0.123685,3.302326,235897.955906,4.701672,43
claude-sonnet-4,Self-Discover,111670.0,1.106922,0.503237,0.098676,3.232558,27127.007512,19.548957,43
codestral-latest-official,Default,51190.0,0.033149,0.519819,0.168443,2.44186,11188.445047,674.299483,43
codestral-latest-official,Self-Consistency_N3,365158.0,0.180041,0.522941,0.137943,2.302326,24502.595463,124.896572,43
codestral-latest-official,Self-Consistency_N5,596980.0,0.298807,0.534199,0.137024,2.44186,55179.707533,76.874295,43
codestral-latest-official,Self-Discover,100960.0,0.065635,0.518322,0.102211,2.651163,13210.516547,339.571615,43
deepseek-r1,Default,82631.0,0.076786,0.542689,0.117205,3.139535,5672.992523,303.906373,43
deepseek-r1,Self-Consistency_N3,453940.0,0.37966,0.53834,0.113162,3.27907,20592.646571,60.971862,43
deepseek-r1,Self-Consistency_N5,769401.0,0.646189,0.547432,0.11032,3.186047,27625.368146,36.428258,43
deepseek-r1,Self-Discover,94228.0,0.083344,0.532906,0.111291,3.186047,5162.910661,274.944257,43
gemini-2.5-flash,Default,147246.0,0.443436,0.558472,0.136365,3.139535,16261.000788,54.154993,43
gemini-2.5-flash,Self-Consistency_N3,1010630.0,2.178944,0.579322,0.084718,3.348837,72399.366711,11.432523,43
